-0.859375,0.78125,0.34375,0.9296875,-0.8984375,0.40625
0.0,0.09375,-0.0390625,0.9296875,-0.9453125,-0.7265625
0.34375,-0.1171875,-0.2734375,-0.453125,0.1875,-0.0546875
0.203125,0.78125,-0.9921875,-0.609375,1.0,-0.203125
0.359375,0.1796875,-0.6171875,-0.859375,-0.7421875,0.078125
0.796875,0.3125,-0.296875,0.375,-0.28125,-0.890625
0.6640625,-0.09375,0.375,0.1484375,0.15625,0.0390625
0.859375,0.578125,-0.875,-0.140625,0.7578125,-0.4609375
0.5390625,0.1875,-0.6484375,0.09375,0.2265625,-0.890625
-0.125,-0.1171875,0.296875,0.2421875,-0.7265625,0.984375
