0,0.05,0.45,0.20
1,0.30,0.50,0.40
2,0.20,0.45,0.36
0,0.07,0.38,0.25
0,0.15,0.47,0.30
1,0.17,0.33,0.28
0,0.12,0.30,0.23
1,0.00,0.38,0.20
2,0.25,0.55,0.35
0,0.05,0.42,0.23
1,0.20,0.38,0.30
2,0.33,0.50,0.40
3,0.23,0.53,0.37
0,0.05,0.41,0.23
0,0.05,0.42,0.22
1,0.04,0.44,0.29
2,0.20,0.44,0.36
3,0.16,0.47,0.38
4,0.31,0.46,0.41
0,0.06,0.41,0.25
0,0.07,0.42,0.26
1,0.05,0.44,0.30
2,0.13,0.48,0.32
3,0.09,0.48,0.35
4,0.20,0.49,0.39
5,0.15,0.51,0.42
6,0.29,0.52,0.44
7,0.37,0.49,0.44
8,0.37,0.50,0.44
9,0.36,0.49,0.44
10,0.36,0.52,0.45
11,0.39,0.52,0.45
12,0.39,0.51,0.44
13,0.38,0.51,0.45
14,0.39,0.54,0.45
15,0.39,0.51,0.45
16,0.41,0.52,0.45
17,0.38,0.52,0.45
18,0.39,0.51,0.45
19,0.38,0.51,0.45
20,0.40,0.52,0.45
21,0.38,0.50,0.45
22,0.38,0.52,0.45
23,0.39,0.53,0.45
24,0.41,0.51,0.45
25,0.41,0.51,0.45
