0,0.050,0.413,0.238,0.079
1,0.067,0.437,0.299,0.074
2,0.073,0.487,0.341,0.081
3,0.180,0.457,0.343,0.065
4,0.143,0.470,0.350,0.069
5,0.093,0.457,0.347,0.078
6,0.090,0.487,0.370,0.062
7,0.267,0.503,0.401,0.051
8,0.217,0.500,0.408,0.050
9,0.293,0.513,0.422,0.043
10,0.297,0.513,0.423,0.044
11,0.180,0.500,0.425,0.051
12,0.263,0.507,0.426,0.051
13,0.233,0.517,0.430,0.050
14,0.260,0.507,0.434,0.042
15,0.180,0.513,0.427,0.061
16,0.253,0.510,0.431,0.045
17,0.170,0.510,0.440,0.047
18,0.260,0.507,0.447,0.039
19,0.370,0.500,0.450,0.030
20,0.363,0.533,0.449,0.030
21,0.397,0.520,0.455,0.027
22,0.387,0.507,0.451,0.025
23,0.397,0.520,0.455,0.030
24,0.387,0.530,0.458,0.029
25,0.383,0.523,0.459,0.030
26,0.390,0.537,0.460,0.028
27,0.387,0.527,0.460,0.029
28,0.393,0.523,0.461,0.030
29,0.410,0.533,0.469,0.025
30,0.377,0.547,0.461,0.028
31,0.380,0.547,0.464,0.031
32,0.400,0.553,0.461,0.026
33,0.410,0.537,0.470,0.027
34,0.400,0.533,0.467,0.028
35,0.397,0.577,0.469,0.031
36,0.373,0.533,0.469,0.030
37,0.390,0.540,0.466,0.029
38,0.410,0.547,0.470,0.028
39,0.380,0.550,0.463,0.029
40,0.390,0.560,0.471,0.032
41,0.413,0.540,0.473,0.027
42,0.397,0.543,0.471,0.028
43,0.413,0.533,0.474,0.026
44,0.400,0.550,0.474,0.029
45,0.420,0.553,0.471,0.026
46,0.407,0.543,0.475,0.030
47,0.397,0.523,0.470,0.025
48,0.407,0.543,0.471,0.028
49,0.410,0.540,0.472,0.026
