0,0.043,0.470,0.251,0.088
1,0.120,0.447,0.307,0.071
2,0.140,0.477,0.346,0.073
3,0.107,0.497,0.362,0.073
4,0.157,0.480,0.390,0.057
5,0.253,0.477,0.379,0.059
6,0.177,0.483,0.389,0.062
7,0.217,0.500,0.405,0.054
8,0.210,0.523,0.431,0.050
9,0.227,0.497,0.433,0.039
10,0.383,0.503,0.440,0.026
11,0.363,0.520,0.438,0.028
12,0.393,0.523,0.449,0.027
13,0.390,0.523,0.447,0.027
14,0.387,0.523,0.450,0.030
15,0.383,0.530,0.446,0.030
16,0.387,0.523,0.444,0.028
17,0.383,0.507,0.448,0.026
18,0.377,0.517,0.447,0.027
19,0.367,0.507,0.447,0.029
20,0.363,0.527,0.449,0.031
21,0.370,0.523,0.447,0.029
22,0.367,0.537,0.445,0.031
23,0.360,0.517,0.445,0.029
24,0.380,0.503,0.445,0.029
25,0.337,0.500,0.446,0.030
26,0.397,0.533,0.452,0.029
27,0.380,0.530,0.447,0.027
28,0.377,0.513,0.446,0.027
29,0.380,0.520,0.445,0.030
30,0.370,0.507,0.450,0.029
31,0.393,0.550,0.450,0.030
32,0.363,0.550,0.442,0.031
33,0.360,0.503,0.449,0.027
34,0.390,0.553,0.448,0.030
35,0.390,0.497,0.449,0.024
36,0.363,0.507,0.445,0.025
37,0.383,0.510,0.446,0.026
38,0.367,0.517,0.446,0.028
39,0.377,0.503,0.448,0.027
40,0.383,0.510,0.446,0.027
41,0.380,0.510,0.447,0.027
42,0.373,0.527,0.450,0.029
43,0.343,0.517,0.448,0.033
44,0.360,0.513,0.448,0.028
45,0.377,0.497,0.446,0.029
46,0.367,0.527,0.448,0.030
47,0.370,0.503,0.442,0.026
48,0.373,0.523,0.446,0.032
49,0.327,0.517,0.445,0.034
50,0.377,0.510,0.440,0.029
51,0.377,0.500,0.444,0.027
52,0.373,0.513,0.450,0.029
53,0.373,0.530,0.443,0.027
54,0.393,0.523,0.449,0.028
55,0.370,0.507,0.445,0.029
56,0.370,0.513,0.448,0.029
57,0.377,0.523,0.447,0.029
58,0.380,0.497,0.448,0.028
59,0.367,0.513,0.445,0.029
60,0.387,0.503,0.441,0.024
61,0.377,0.530,0.445,0.029
62,0.390,0.520,0.449,0.030
63,0.343,0.513,0.449,0.031
64,0.370,0.510,0.447,0.028
65,0.390,0.523,0.450,0.025
66,0.357,0.530,0.448,0.031
